image,quality,bpp,psnr,ms_ssim
kodim13.png,20,0.8360188802083334,24.673175811767578,0.945851743221283
kodim14.png,20,0.6292928059895834,27.518253326416016,0.9450963139533997
kodim15.png,20,0.38592529296875,30.229284286499023,0.9355326294898987
kodim16.png,20,0.4272257486979167,30.43643569946289,0.9415221214294434
kodim17.png,20,0.4365234375,30.627784729003906,0.9566701054573059
kodim18.png,20,0.6057332356770834,27.350135803222656,0.9406916499137878
kodim19.png,20,0.4819539388020833,29.33647918701172,0.942700207233429
kodim20.png,20,0.37176513671875,30.646018981933594,0.9605276584625244
kodim21.png,20,0.50958251953125,28.582347869873047,0.9503509402275085
kodim22.png,20,0.4794921875,28.97306251525879,0.9297148585319519
kodim23.png,20,0.3342081705729167,31.819499969482422,0.9402437210083008
kodim24.png,20,0.6064453125,26.985824584960938,0.9536426067352295
kodim01.png,30,0.9223225911458334,28.211135864257812,0.970903217792511
kodim02.png,30,0.4752197265625,31.36846923828125,0.9323597550392151
kodim03.png,30,0.447998046875,32.86126708984375,0.9636688828468323
kodim04.png,30,0.5365193684895834,31.704734802246094,0.9533987045288086
kodim05.png,30,1.036865234375,27.731456756591797,0.9734087586402893
kodim06.png,30,0.7397664388020834,29.42493438720703,0.9631059765815735
kodim07.png,30,0.5688680013020834,32.119049072265625,0.9760281443595886
kodim08.png,30,1.0419921875,27.534412384033203,0.9774133563041687
kodim09.png,30,0.4718424479166667,32.781036376953125,0.9687084555625916
kodim10.png,30,0.5115966796875,32.406803131103516,0.9650641083717346
kodim11.png,30,0.6707560221354166,30.003864288330078,0.9619198441505432
kodim12.png,30,0.4728597005208333,32.805171966552734,0.9576725959777832
kodim13.png,30,1.1055094401041667,25.88317108154297,0.9624491333961487
kodim14.png,30,0.8267618815104166,28.72663116455078,0.9619531035423279
kodim15.png,30,0.4991251627604167,31.527225494384766,0.9549136161804199
kodim16.png,30,0.5585530598958334,31.750185012817383,0.9618498682975769
kodim17.png,30,0.5628662109375,31.971351623535156,0.9729406237602234
kodim18.png,30,0.7958780924479166,28.60172462463379,0.9583044648170471
kodim19.png,30,0.6289469401041666,30.69202423095703,0.9614298939704895
kodim20.png,30,0.4676310221354167,31.959915161132812,0.9723356366157532
kodim21.png,30,0.6465047200520834,29.849803924560547,0.9651086330413818
kodim22.png,30,0.6350504557291666,30.217899322509766,0.9515592455863953
kodim23.png,30,0.4195149739583333,33.38290786743164,0.9614455103874207
kodim24.png,30,0.7920735677083334,28.28016471862793,0.9677049517631531
kodim01.png,50,1.2572021484375,29.86791229248047,0.9823276996612549
kodim02.png,50,0.6891682942708334,32.844329833984375,0.9562651515007019
kodim03.png,50,0.6131795247395834,34.557640075683594,0.9773218035697937
kodim04.png,50,0.75262451171875,33.25728225708008,0.970918595790863
kodim05.png,50,1.4054361979166667,29.58631706237793,0.9834397435188293
kodim06.png,50,1.01531982421875,31.159761428833008,0.977782666683197
kodim07.png,50,0.7590128580729166,33.91876220703125,0.984891414642334
kodim08.png,50,1.40625,29.425809860229492,0.9857943058013916
kodim09.png,50,0.6253662109375,34.5280647277832,0.9799979329109192
kodim10.png,50,0.6966959635416666,34.17570877075195,0.9783371090888977
kodim11.png,50,0.9308268229166666,31.712970733642578,0.976567804813385
kodim12.png,50,0.65838623046875,34.60475540161133,0.9753751754760742
kodim13.png,50,1.5330607096354167,27.599058151245117,0.9763727188110352
